data_dir,C',SB,VV,HH,N
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,3.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,2.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,2.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,118.0,1.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,3.0,0.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,3.0,115.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,3.0,115.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,3.0,0.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,3.0,115.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,3.0,1.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,119.0,1.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,3.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,119.0,1.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,3.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,3.0,1.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,3.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,1.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,4.0,116.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,2.0,0.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,2.0,117.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,2.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,1.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,0.0,119.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
2025-06-23--23h-02m-39s,1.0,1.0,118.0,0.0,120.0
2025-06-23--23h-02m-39s,0.0,0.0,120.0,0.0,120.0
